sentence_id,sentence,bucket,list_number
108,What do you do to make ends meet?,<2.25,1
437,The conversation on this tape is totally unintelligible.,3.25-4.25,1
774,The sheep turn round and charge the shepherd?,>5.25,1
783,There was more chatter and tapping of watches.,>5.25,1
166,I'd love to hear about what you're doing.,2.25-3.25,1
628,Her proposal is heavily promoted in the press.,4.25-5.25,1
494,Licensing and registration procedures are opaque and politicized.,4.25-5.25,1
541,Music and laughter came from inside the shop.,4.25-5.25,1
324,She turned her attention back to the furnishings.,3.25-4.25,1
266,"Suddenly, a faint whisper swirled in her ear.",2.25-3.25,1
27,"Sir, would you like to leave a message?",<2.25,1
392,He tried to wind down his window surreptitiously.,3.25-4.25,1
778,That was very interesting research George was doing!,>5.25,1
619,The next morning found him eager to begin.,4.25-5.25,1
708,The guy most likely looked at life simply.,>5.25,1
438,Footsteps moved toward them up the side street.,3.25-4.25,1
381,The flow of data is returning to normal.,3.25-4.25,1
333,He looked at the poster on the wall.,3.25-4.25,1
688,I watched him head to the other barn.,>5.25,1
43,"Call me when you get close, all right?",<2.25,1
204,"If I get any information, I'll call you.",2.25-3.25,1
679,Other passengers reviewed shopping lists and read books.,>5.25,1
134,"No, that's not the way I see it.",<2.25,1
409,It would be like believing in the postman.,3.25-4.25,1
734,"I laughed too, loving his delightful British accent.",>5.25,1
178,It was the way it had always been.,2.25-3.25,1
299,"When are we getting out of here, exactly?",2.25-3.25,1
666,He peers at the tag inside the dress.,>5.25,1
736,The boys were all at that runaway age.,>5.25,1
188,He had never seen anything like them before.,2.25-3.25,1
720,What use were eyes to it down here?,>5.25,1
191,Most of it is not all of it.,2.25-3.25,1
394,How could they talk when he couldn't speak?,3.25-4.25,1
378,Did someone try to kick the door down?,3.25-4.25,1
457,"Finally, he had something he could actually do.",3.25-4.25,1
396,"In my judgment, you simply have no alternative.",3.25-4.25,1
132,That's just what I was going to say.,<2.25,1
454,Then I would have to answer interesting questions.,3.25-4.25,1
513,The workshop guys can pick it up later.,4.25-5.25,1
711,Martin knew any real answers lay much deeper.,>5.25,1
430,"In the swamps, I learned how to listen.",3.25-4.25,1
570,The windows they faced were dark and shut.,4.25-5.25,1
609,"We lead rituals and ceremonies, things like that.",4.25-5.25,1
51,"It's not just me, it's both of us.",<2.25,1
123,I don't care what you think of me.,<2.25,1
530,Now keep that thought in mind and exaggerate!,4.25-5.25,1
273,Let's hope there isn't a backlash against him.,2.25-3.25,1
756,But here they were merely Paul and Anna.,>5.25,1
616,Half of Omaha has no lights right now.,4.25-5.25,1
90,"Even if I did, you'd never believe it.",<2.25,1
33,I wish there was something I could do.,<2.25,1
239,It doesn't look like something you'd pick out.,2.25-3.25,1
215,"Whatever it was, it seemed to get through.",2.25-3.25,1
558,Have many famous actors and actresses lived here?,4.25-5.25,1
219,"To be honest, I found this by accident.",2.25-3.25,1
410,"You need a partner, someone to spot you.",3.25-4.25,1
416,"Now, we have cloaks for those with wings.",3.25-4.25,1
61,"This time, you have to do it right.",<2.25,1
693,He spent my college fund on puppet clothes.,>5.25,1
648,Good housing also helped promote good work habits.,>5.25,1
597,He ignored me for a full thirty seconds.,4.25-5.25,1
581,"They have always been understanding, patient and kind.",4.25-5.25,1
133,Are you going to be able to sleep?,<2.25,1
470,"By this time, we were getting visitors, too.",3.25-4.25,1
478,She stood looking straight at my downcast eyes.,3.25-4.25,1
627,Eleanor turned to look at what he indicated.,4.25-5.25,1
537,Your father too wished to own a boat.,4.25-5.25,1
60,You told me you wanted to meet him.,<2.25,1
271,But it would be better if you came.,2.25-3.25,1
252,Have I got time to mow the lawn?,2.25-3.25,1
539,There were fewer chips left after each wager.,4.25-5.25,1
250,I have no recollection of any of that.,2.25-3.25,1
746,"Hanna faked a cough, hiding her guilty expression.",>5.25,1
334,I was lukewarm about her in the beginning.,3.25-4.25,1
514,When will you bring her the color television?,4.25-5.25,1
691,Evening approached as more people filled the street.,>5.25,1
667,Business travel slowed dramatically and vacations were cancelled.,>5.25,1
308,Why don't we go straight through the stream?,2.25-3.25,1
162,Tomorrow was going to be a long day.,2.25-3.25,1
405,She pointed to a carving on the wall.,3.25-4.25,1
352,We both sat in thought for a moment.,3.25-4.25,1
692,The book sales alone will be worth millions.,>5.25,1
441,The further they went the thicker it became.,3.25-4.25,1
548,That backup team will be a last resort.,4.25-5.25,1
118,Would you like me to stay with you?,<2.25,1
617,We each had some urgent matters to attend.,4.25-5.25,1
369,He started hanging the clothes in the closet.,3.25-4.25,1
758,The pollen genetically altered to carry a virus.,>5.25,1
560,But why could we all see their horses?,4.25-5.25,1
624,"The goddess was gorgeous, no question about that.",4.25-5.25,1
283,I hope you find out who did this.,2.25-3.25,1
14,Do you have anything to say about that?,<2.25,1
574,The reality of what was happening sank in.,4.25-5.25,1
606,It is the characteristic species of grassland ponds.,4.25-5.25,1
62,I'll come to you when I need you.,<2.25,1
400,Was there any recent construction at the house?,3.25-4.25,1
85,We'll talk about this when I get back.,<2.25,1
321,She sighed and leaned back on the couch.,3.25-4.25,1
229,"Now, start from the beginning, and slow down.",2.25-3.25,1
9,Do you know how much I love you?,<2.25,1
